Monday,,,"Time Table, Fall-2021
",,,,,,,,,,,,,,,,,,,,,,,,,,BS CS (2021),,,,,,,,,,,,,"FAST School of Computing, NUCES, Islamabad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS (CS),,,,,,,,,,,,BS Repeat Courses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,C-310,OS (C),,,,,,,,,,,,,,,,,,"Cal (CS-21, R)",,,,,,,,,,,,,,,,,,"PF (CS-21, R)",,,,,,,,,,,,,,,,,,"AP (CS-21, R)",,,,,,,,,,,,,,,,,,"Adv Prog (CS-19, E/F/G)",,,,,,,,,,,,,,,,,"Islamic Studies (CS-21, R)",,,,,,,,,,,,,,,,,Reserved for FSM,,,,,,,,,,,,,,,,,,,Reserved for FSM,,,,,,,,,,,,,,,
,,C-311,,,,,,,,,,,,,,,,,,,"ML (AI-19, K)",,,,,,,,,,,,,,,,,,Mobile Ubi Comp (PhD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DIP,,,,,,,,,,,,,,,,,DIP,,,,,,,,,,,,,,,,,Reserved for FSM,,,,,,,,,,,,,,,,,,,Reserved for FSM,,,,,,,,,,,,,,,
,,C-401,"AP (SE-21, P)",,,,,,,,,,,,,,,,,,"Cal (SE-21, P)",,,,,,,,,,,,,,,,,,"PF (SE-21, P)",,,,,,,,,,,,,,,,,,OS (A) ,,,,,,,,,,,,,,,,,,"Pak Studies (SE-21, P)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,C-402,,,,,,,,,,,,,,,,,,,"PF (SE-21, Q)",,,,,,,,,,,,,,,,,,"AP (SE-21, Q)",,,,,,,,,,,,,,,,,,"Cal (SE-21, Q)",,,,,,,,,,,,,,,,,,"Data Str (CS-20, A)",,,,,,,,,,,,,,,,,"Pak Studies (SE-21, Q)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,C-403,"Cal (AI-21, J)",,,,,,,,,,,,,,,,,,"Pak Studies (AI-21, J)",,,,,,,,,,,,,,,,,,"PF (AI-21, J)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LA (AI-21, J) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,C-404,"Pak Studies (AI-21, K)",,,,,,,,,,,,,,,,,,"PF (AI-21, K)",,,,,,,,,,,,,,,,,,"LA (AI-21, K) ",,,,,,,,,,,,,,,,,,"Data Str (AI-20, JK) ",,,,,,,,,,,,,,,,,,"Cal (AI-21, K)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,C-405,"Discrete (AI-20, J)",,,,,,,,,,,,,,,,,,"Prog for AI (AI-20, J)",,,,,,,,,,,,,,,,,,"SE (AI-19, K)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DL Perc (CS-18,CS-Elec, A)",,,,,,,,,,,,,,,,,"DL Perc (CS-18,CS-Elec, B)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,C-406,DLD (A),,,,,,,,,,,,,,,,,,"COAL (CS-20, B)",,,,,,,,,,,,,,,,,,"Data Str (CS-20, B)",,,,,,,,,,,,,,,,,,DLD (B),,,,,,,,,,,,,,,,,,OOP (F),,,,,,,,,,,,,,,,,SPM (MS-Elec),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,C-407,Diff Eq (B),,,,,,,,,,,,,,,,,,"Data Str (CS-20, C)",,,,,,,,,,,,,,,,,,"LA (CS-20, C)",,,,,,,,,,,,,,,,,,Diff Eq (A),,,,,,,,,,,,,,,,,,,,,,,"DM (CS-19, E/F/G) 3:00-4:20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,C-408,"Prog for AI (AI-20, K)",,,,,,,,,,,,,,,,,,"Discrete (AI-20, K)",,,,,,,,,,,,,,,,,,"COAL (CS-20, A)",,,,,,,,,,,,,,,,,,"Data Str (SE-20, P)",,,,,,,,,,,,,,,,,,"LA (SE-20, P)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,C-409,,,,,,,,,,,,,,,,,,,"Blockchain (CS-18, CS-Elec, A)",,,,,,,,,,,,,,,,,,"Blockchain (CS-18, CS-Elec, B)",,,,,,,,,,,,,,,,,,"LA (SE-20, Q)",,,,,,,,,,,,,,,,,,"Data Str (SE-20, Q)",,,,,,,,,,,,,,,,,Discrete (SE-20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,B-227,,,,,,,,,,,,,,,,,,,"LA (CS-20, D)",,,,,,,,,,,,,,,,,,"Data Str (CS-20, D)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,B-229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Num. Th. & Cypto (CY-19, M)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emp SE/ Adv. (MS/PhD-Elec),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,B-230,,,,,,,,,,,,,,,,,,,"Blockchain (CS-18, CS-Elec, C)",,,,,,,,,,,,,,,,,,"Blockchain (CS-18, CS-Elec, D)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A-301,"HCI (SE-20, P)",,,,,,,,,,,,,,,,,,"SRE (SE-20, P)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A-102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entrepreneurship (BS-18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A-302,"SRE (SE-20, Q)",,,,,,,,,,,,,,,,,,"HCI (SE-20, Q)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A-303,,,,,,,,,,,,,,,,,,,"Automata (CS-19, G)",,,,,,,,,,,,,,,,,,"TBW (CS-19, G)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A-305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A-310,,,,,,,,,,,,,,,,,,,"LA (CS-20, E)",,,,,,,,,,,,,,,,,,"Discrete (CS-20, E)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A-311,,,,,,,,,,,,,,,,,,,"Discrete (CS-20, F)",,,,,,,,,,,,,,,,,,"LA (CS-20, F)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
